artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
No Vacation,Summer Break Mixtape,Dræm Girl,6lbLn5iL2NBJnbib7bTXMn,0.192,0.952,2,-5.888,1,0.258,0.716,0.307,0.262,172.752,234607,4
Varsity,"Cult of Personality - So Sad, So Sad","So Sad, So Sad",5rKor0rlCbaA7j755zhnhb,0.397,0.518,4,-7.156,1,0.0327,0.00634,0.133,0.262,113.737,232567,4
Blonde Tongues,Blonde Tongues,Hey Good Lookin',6bKHrmhfMFhlXqYR6zfPt9,0.201,0.771,10,-6.914,1,0.0401,0.847,0.112,0.0984,155.068,347000,3
"Parks, Squares and Alleys",We're Not Just Friends,We're Not Just Friends,0CyRloqqjpeKEAd3cO6J6z,0.655,0.653,4,-7.488,1,0.0278,0.75,0.0781,0.732,114.995,187820,4
No Vacation,Summer Break Mixtape,Sad Valentine,1rEsbyBuQ0MqKF3dG7B0bf,0.296,0.913,2,-6.144,1,0.068,0.255,0.0583,0.183,171.314,220318,4
Good Morning,Shawcross,Warned You,67LKZcv1J2Yj4pk5UIuFQW,0.507,0.428,6,-4.677,1,0.0263,0.149,0.101,0.406,138.163,133129,4
No Vacation,Amo XO,Lovefool,3dmsgudsfeGdQ9NsZFOm0C,0.819,0.688,2,-5.967,0,0.0363,0.0568,0.0799,0.961,104.013,130962,4
Eerie Summer,The Way I Don't Understand Anything Anymore,Weird Around You,12xboR6R89wd5wcNNNu6mm,0.334,0.764,11,-4.689,1,0.034,0.00477,0.309,0.149,180.403,241333,4
Mac DeMarco,2,Ode to Viceroy,601KiLiZtBJRTXBrTjeieP,0.514,0.632,2,-6.305,1,0.0501,0.0132,0.115,0.31,94.569,233818,4
Le Couleur,Voyage love,Femme,2ZSDmvujOLQCEVgyE0oqPf,0.792,0.57,6,-8.574,0,0.039,0.00937,0.106,0.784,117.992,235905,4
Tame Impala,Lonerism,Feels Like We Only Go Backwards,0LtOwyZoSNZKJWHqjzADpW,0.303,0.9,2,-2.352,0,0.0574,0.635,0.11,0.491,149.508,192960,4
Mac DeMarco,2,My Kind of Woman,2OFrAsP5Vrcb0DtsPNsm54,0.501,0.765,6,-7.063,0,0.0281,0.49,0.184,0.46,91.769,190846,4
Foxes In Fiction,Ontario Gothic,Ontario Gothic,31lcf5cp2rY7rZxAC5uOcA,0.303,0.542,11,-10.556,1,0.0323,0.815,0.126,0.232,205.953,325242,4
Mac DeMarco,Salad Days,Chamber Of Reflection,1MJ5f5EYBC92ADD6xcz7nb,0.537,0.558,11,-8.678,1,0.0929,0.91,0.102,0.505,131.037,231724,4
Mac DeMarco,Salad Days,Blue Boy,1CKm95B5JmaSCnZLquInM4,0.489,0.793,10,-5.848,1,0.0421,0.3,0.213,0.603,81.326,126224,4
Surf Curse,Sad Boys,Forever Dumb,2ZQSRyJeY3HDJ99w0dFhfg,0.303,0.736,1,-12.691,0,0.0728,0.0328,0.107,0.444,170.826,258320,4
No Vacation,Amo XO,August,0xRLP2ZoNjBWh2GnUebqpG,0.779,0.425,9,-7.088,1,0.0559,0.00174,0.117,0.296,125.009,190080,4
